"Block","Section","Indicator","Value","Rank (states/UTs)","Reference Period","Source","Comments"
"B","B2 - Output & Income","Secondary sector share of GSVA (%)","16%","N/A","2024-25","prsindia.org/budgets/states/telangana-budget-analysis-2026-27",""
"B","B2 - Output & Income","Tertiary sector share of GSVA (%)","66%","N/A","2024-25","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Services dominant"
"B","B2 - Output & Income","Major industries","IT/ITES (2nd largest hub nationally) | Pharmaceuticals (largest cluster nationally) | Agriculture (rice/cotton/chillies) | Coal (Singareni) | Manufacturing","N/A","N/A","Socio-Economic Outlook 2025 - telangana.gov.in",""
"B","B3 - Labour & Prices","LFPR - overall (%)","68.7% (rural 75%; female 52.7%)","N/A","PLFS 2023-24","Socio-Economic Outlook 2025 - telangana.gov.in","7.4pp above national rural avg of 64.3%"
"B","B3 - Labour & Prices","Unemployment Rate - Rural usual status (%)","[UNCONFIRMED]","N/A","PLFS 2023-24","RBI Handbook T8 - rbi.org.in","RBI PDF CAPTCHA-blocked"
"B","B3 - Labour & Prices","Unemployment Rate - Urban usual status (%)","[UNCONFIRMED]","N/A","PLFS 2023-24","RBI Handbook T9 - rbi.org.in","RBI PDF CAPTCHA-blocked"
"B","B3 - Labour & Prices","Average CPI Inflation - General (%)","approx. 6.65%","5th highest","December 2023","Telangana Budget 2024-25; RBI Handbook T108","Slightly above national avg of 5.69%"
"B","B4 - Agriculture & Environment","Net Sown Area (lakh ha)","[UNCONFIRMED]","N/A","RBI Handbook T54","rbi.org.in","RBI PDF CAPTCHA-blocked"
"B","B4 - Agriculture & Environment","Gross Irrigated Area (lakh ha)","[UNCONFIRMED]","N/A","RBI Handbook T55","rbi.org.in","Major rivers: Godavari and Krishna"
"B","B4 - Agriculture & Environment","Total Foodgrain Production (lakh MT)","[UNCONFIRMED]","N/A","RBI Handbook T62","rbi.org.in",""
"B","B4 - Agriculture & Environment","Forest Cover (% of state area)","[UNCONFIRMED]","N/A","FSI State of Forest Report","fsi.nic.in",""
"B","B4 - Agriculture & Environment","Groundwater Extraction","79% of catchment areas (flagged as stress)","[UNCONFIRMED rank]","2024-25","Socio-Economic Outlook 2025",""
"C","C1 - Budget","Total Expenditure excl. debt repayment (Rs crore)","301209","[UNCONFIRMED rank]","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","15% increase over 2025-26 RE"
"C","C1 - Budget","Revenue Expenditure (Rs crore)","234406","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 177224 crore"
"C","C1 - Budget","Capital Outlay (Rs crore)","47267","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","30% increase over 2025-26 RE; 2024-25 actuals: Rs 36072 crore"
"C","C1 - Budget","Loans given by the state (Rs crore)","19536","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 4855 crore"
"C","C1 - Budget","Own Tax Revenue (Rs crore)","148186","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 109233 crore"
"C","C1 - Budget","Own Tax Revenue as % of GSDP","7.6%","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: 6.8%"
"C","C1 - Budget","15th FC Tax Devolution (Rs crore)","33182","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","14% of revenue receipts; 2024-25 actuals: Rs 27050 crore"
"C","C1 - Budget","Committed Expenditure - Salaries (Rs crore)","49463","N/A","2025-26 RE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 46784 crore"
"C","C1 - Budget","Committed Expenditure - Pension (Rs crore)","14737","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 16950 crore"
"C","C1 - Budget","Committed Expenditure - Interest payments (Rs crore)","21304","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 27803 crore; 17% of revenue receipts"
"C","C1 - Budget","Committed expenditure as % of revenue receipts","55% (2024-25 actuals); approx. 40% (2025-26 RE)","N/A","2024-25 actuals; 2025-26 RE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Declining due to debt restructuring"
"C","C1b - Top Sector Expenditure","1st: Welfare of SC/ST/OBC & Minorities (Rs crore)","34883","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Includes Rs 5800 cr Rajiv Yuva Vikasam; Rs 5000 cr Young India Integrated Residential Schools"
"C","C1b - Top Sector Expenditure","2nd: Education/Sports/Arts/Culture (Rs crore)","27663","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Rs 6837 cr primary; Rs 9117 cr secondary"
"C","C1b - Top Sector Expenditure","3rd: Social Welfare & Nutrition (Rs crore)","24428","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Rs 14861 cr Cheyutha pension"
"C","C1b - Top Sector Expenditure","Agriculture & Allied (Rs crore)","25686","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Rs 18000 cr Rythu Bharosa"
"C","C1b - Top Sector Expenditure","Health & Family Welfare (Rs crore)","13997","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","13% increase over 2025-26 RE"
"C","C2 - Fiscal Position","Fiscal Deficit (Rs crore)","58459","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","2024-25 actuals: Rs 48922 crore = 3.0% of GSDP"
"C","C2 - Fiscal Position","Fiscal Deficit as % of GSDP","3.0%","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","At FRBM ceiling; 2025-26 RE was 3.2%"
"C","C2 - Fiscal Position","Revenue Balance as % of GSDP","Surplus 0.3% (Rs 6858 crore)","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Revenue deficit of 0.6% in 2024-25 actuals"
"C","C2 - Fiscal Position","Outstanding Liabilities as % of GSDP","28.7%","N/A","2026-27 BE","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","28.3% in 2025-26 RE"
"C","C2 - Fiscal Position","Outstanding Government Guarantees (Rs crore)","241743 (14% of GSDP)","N/A","As of 28 February 2026","prsindia.org/budgets/states/telangana-budget-analysis-2026-27","Guarantees to State Public Sector Enterprises"
"C","C3 - Policy Events","Stamp Duty - last rate revision","[UNCONFIRMED]","N/A","N/A","registration.telangana.gov.in; newspapers as fallback",""
"C","C3 - Policy Events","SFC - last functional report year","[UNCONFIRMED]","N/A","N/A","Telangana Finance Dept; newspapers as fallback",""
"C","C3 - Policy Events","Pay Commission - last implementation","[UNCONFIRMED]","N/A","N/A","Telangana Finance Dept; newspapers as fallback",""
"C","C3 - Policy Events","PRI/ULB Elections - last held","Several ULB elections Dec 2020; Nirmal Municipal Corp 2025","N/A","2020-2025","State Election Commission; news reports","Several elections still pending"
"C","C3 - Policy Events","Industrial Policy - last revision","Telangana Industrial Policy 2020-25","N/A","2020","TSIIC - tsiic.telangana.gov.in","New policy under preparation for post-2025"
"C","C3 - Policy Events","Caste Census - conducted?","Yes - SEEEPC Survey","N/A","Nov-Dec 2024 (data tabled 4 Feb 2025)","thenewsminute.com","BCs = 56.33%; covered 96.9% of households; conducted by Planning Dept"
"C","C4 - Economic Survey","Title","Socio-Economic Outlook (annual)","N/A","N/A","telangana.gov.in",""
"C","C4 - Economic Survey","Latest edition year","2025 (for 2024-25)","N/A","N/A","scribd.com/document/841214482/Socio-Economic-Outlook-2025","Tabled with Budget Feb 2025"
"C","C4 - Economic Survey","URL to latest edition","https://www.telangana.gov.in/wp-content/uploads/2024/07/Telangana-Socio-Economic-Outlook-2024.pdf","N/A","N/A","telangana.gov.in","2025 ed: scribd.com/document/841214482"
"C","C4 - Economic Survey","Published by","Directorate of Economics & Statistics + Planning Dept","N/A","N/A","ecostat.telangana.gov.in",""
"D","D1 - SDG Index","Composite SDG Score","74","9th jointly with Gujarat and AP","2023-24","sdgindiaindex.niti.gov.in (state URL: /state-compare?goal=AllGoal&area=IND036&timePeriod=2021); telanganatoday.com","Rank 1 = highest; Front-Runner (65-99); national avg 71; dashboard is JS-only"
"D","D1 - SDG Index","Goal 1 - No Poverty","91","2nd","2023-24","telanganatoday.com citing sdgindiaindex.niti.gov.in","Rank 1 = highest; national avg 72"
"D","D1 - SDG Index","Goal 2 - Zero Hunger","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)","Dashboard is JS-only; per-goal data not extractable via fetch"
"D","D1 - SDG Index","Goal 3 - Good Health & Well-Being","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 4 - Quality Education","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 5 - Gender Equality","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)","Likely lower given sex ratio at birth of 894"
"D","D1 - SDG Index","Goal 6 - Clean Water & Sanitation","90","[UNCONFIRMED rank]","2023-24","telanganatoday.com citing sdgindiaindex.niti.gov.in","Strong JJM coverage"
"D","D1 - SDG Index","Goal 7 - Affordable & Clean Energy","100","1st (joint with all states)","2023-24","telanganatoday.com citing sdgindiaindex.niti.gov.in","Achiever category; full electrification achieved"
"D","D1 - SDG Index","Goal 8 - Decent Work & Economic Growth","84","[UNCONFIRMED rank]","2023-24","telanganatoday.com citing sdgindiaindex.niti.gov.in","Above national avg"
"D","D1 - SDG Index","Goal 9 - Industry Innovation & Infra","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 10 - Reduced Inequalities","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)","Sharp district inequality: Rangareddy vs Vikarabad"
"D","D1 - SDG Index","Goal 11 - Sustainable Cities","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 12 - Responsible Consumption","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 13 - Climate Action","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 14 - Life Below Water","N/A","N/A","N/A","N/A","Not applicable - Telangana is landlocked"
"D","D1 - SDG Index","Goal 15 - Life on Land","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","Goal 16 - Peace Justice & Institutions","[UNCONFIRMED]","N/A","2023-24","sdgindiaindex.niti.gov.in (state code IND036)",""
"D","D1 - SDG Index","MPI Score","[UNCONFIRMED]","N/A","NITI Aayog MPI 2023","niti.gov.in","Goal 1 rank of 2nd implies very low poverty"
"D","D2 - Health Outcomes (SRS)","Infant Mortality Rate (per 1000 LB)","[UNCONFIRMED]","[UNCONFIRMED]","SRS Statistical Report (latest)","censusindia.gov.in/nada/index.php/catalog/SRS","SRS portal login-gated"
"D","D2 - Health Outcomes (SRS)","Neonatal Mortality Rate (per 1000 LB)","21","[UNCONFIRMED rank]","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Table 5 - niti.gov.in/sites/default/files/2022-07/SNP_Telangana_Final_compressed (1).pdf","NFHS-5 indicator: Neonatal mortality rate; national avg 24.9"
"D","D2 - Health Outcomes (SRS)","Under-5 Mortality Rate (per 1000 LB)","22","Already attained SDG target of U5MR <=25","NFHS-5 (2019-21) / SRS 2021","pib.gov.in/PressReleaseIframePage.aspx?PRID=2128024; NITI Aayog SNP TG","Rank 1 = highest; confirmed via PIB citing SRS 2021"
"D","D2 - Health Outcomes (SRS)","Maternal Mortality Ratio (per 1L LB)","45","8th best (of 8 states having attained SDG target MMR <=70)","SRS MMR Bulletin (latest)","pib.gov.in/PressReleaseIframePage.aspx?PRID=2128024","Rank 1 = lowest MMR; SDG target achieved"
"D","D2 - Health Outcomes (SRS)","Total Fertility Rate","1.7","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report - niti.gov.in","Well below replacement level of 2.1"
"D","D2 - Health Outcomes (SRS)","Sex Ratio at Birth (females per 1000 males)","894","Among 3 worst in Phase-1 states","NFHS-5 (2019-21)","NITI Aayog SNP TG; prsindia.org NFHS-5 Vital Stats","Rank 1 = worst (lowest); one of 3 states below 900"
"D","D2 - Health Outcomes (SRS)","Life Expectancy at Birth (years)","[UNCONFIRMED]","N/A","SRS Statistical Report (latest)","censusindia.gov.in/nada/index.php/catalog/SRS","SRS portal login-gated"
"D","D2 - Health Outcomes (SRS)","Birth Rate (per 1000)","16.4","N/A","SRS 2020","cag.gov.in/uploads/download_audit_report/2022/04-Chapter-1-HEALTH-REPORT-066ac85e35b7411.28964780.pdf","National SRS 2020: 19.5; Telangana significantly below national avg"
"D","D2 - Health Outcomes (SRS)","Death Rate (per 1000)","6.0","N/A","SRS 2020","cag.gov.in/uploads/download_audit_report/2022/04-Chapter-1-HEALTH-REPORT-066ac85e35b7411.28964780.pdf","National SRS 2020: 6.0; Telangana at national average"
"D","D2 - Health Outcomes (NFHS-5)","Institutional Delivery (%)","93.6%","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Table 5","Above national avg of 88.6%"
"D","D2 - Health Outcomes (NFHS-5)","Mothers with 4+ ANC visits (%)","70.4%","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Table 5",""
"D","D2 - Health Outcomes (NFHS-5)","Full Immunisation Coverage (%)","72.4%","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Table 5","National avg 77%"
"D","D3 - Nutrition (NFHS-5)","Stunting - children under 5 (%)","33% (up from 28% in NFHS-4; +5pp)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Fig 1 - niti.gov.in","Rank 1 = worst; 31/31 districts in concern zone"
"D","D3 - Nutrition (NFHS-5)","Wasting - children under 5 (%)","22% (up from 18% in NFHS-4; +4pp)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Fig 1","Rank 1 = worst"
"D","D3 - Nutrition (NFHS-5)","Underweight - children under 5 (%)","32% (up from 28% in NFHS-4; +4pp)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Fig 1","Rank 1 = worst; 30/31 districts in concern zone"
"D","D3 - Nutrition (NFHS-5)","Anaemia - children 6 to 59 months (%)","70% (up from 61% in NFHS-4; +9pp)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Fig 1","Rank 1 = worst; large deterioration"
"D","D3 - Nutrition (NFHS-5)","Anaemia - non-pregnant women 15 to 49 (%)","58% (up from 57% in NFHS-4)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Fig 1","National avg 57%"
"D","D3 - Nutrition (NFHS-5)","Anaemia - pregnant women (%)","53% (up from 48% in NFHS-4; +5pp)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG Report Fig 1","National avg 52.2%"
"D","D2b - HH Conditions (NFHS-5)","HHs with electricity (%)","approx. 99%+ (district range: 99.2% to 99.9%)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG District Table 3 (github.com/pratapvardhan/NFHS-5 district data)","State avg needs NFHS-5 factsheet directly; district data confirms near-universal"
"D","D2b - HH Conditions (NFHS-5)","HHs with improved drinking water source (%)","approx. 95-99% (district range: 95.7% to 99.6%)","N/A","NFHS-5 (2019-21)","NITI Aayog SNP TG District Table 3","State avg needs NFHS-5 factsheet directly"
"D","D2b - HH Conditions (NFHS-5)","HHs using improved sanitation facility (%)","[UNCONFIRMED state avg]","N/A","NFHS-5 (2019-21)","rchiips.org NFHS-5 TG factsheet OR dhsprogram.com/pubs/pdf/OF43/OF43.TG.pdf","Both PDFs blocked; TS recorded nearly 25pp increase vs NFHS-4 (PRS Vital Stats)"
"D","D2b - HH Conditions (NFHS-5)","HHs using clean cooking fuel (%)","approx. 80-99% by district","[UNCONFIRMED state avg]","NFHS-5 (2019-21)","NITI Aayog SNP TG District Table 3","Nearly 25pp increase vs NFHS-4; state avg needs factsheet"
"D","D2b - HH Conditions (NFHS-5)","Women who use a mobile phone (%) age 15-49","[UNCONFIRMED]","N/A","NFHS-5 (2019-21)","rchiips.org OR dhsprogram.com/pubs/pdf/OF43/OF43.TG.pdf","Both PDFs blocked in this session"
"D","D2b - HH Conditions (NFHS-5)","Women with bank/savings account they use (%) age 15-49","[UNCONFIRMED]","N/A","NFHS-5 (2019-21)","rchiips.org OR dhsprogram.com/pubs/pdf/OF43/OF43.TG.pdf","Both PDFs blocked in this session"
"D","D2b - HH Conditions (NFHS-5)","Children under 5 with birth registered (%)","approx. 83-94% (district range)","[UNCONFIRMED state avg]","NFHS-5 (2019-21)","github.com/pratapvardhan/NFHS-5 district data (Adilabad 83.9%; Hyderabad 94.3%)","State avg needs NFHS-5 factsheet directly"
"D","D4 - Education Outcomes (ASER 2024)","Std III-V: reading Std II text (%)","18%","N/A","ASER 2024 (rural survey)","asercentre.org; deccanchronicle.com citing ASER 2024","Rank 1 = lowest; 82% of Std III-V cannot read Std II text"
"D","D4 - Education Outcomes (ASER 2024)","Std III-V: doing at least subtraction (%)","49%","N/A","ASER 2024 (rural survey)","asercentre.org; deccanchronicle.com citing ASER 2024",""
"D","D4 - Education Outcomes (ASER 2024)","Std VIII: can do division (%)","41.1%","N/A","ASER 2024 (rural survey)","asercentre.org; telanganatoday.com citing ASER 2024","TS among states with declines in Std VIII outcomes"
"D","D4 - Education Outcomes","Literacy Rate - persons aged 7+ (%)","66.54%","N/A","Census 2011","censusindia.gov.in","Rank 1 = lowest; 4th lowest among large states"
"D","D4 - Education Outcomes","Female Literacy Rate - aged 7+ (%)","57.92%","N/A","Census 2011","censusindia.gov.in","2nd lowest rural women literacy among large states (53.7%)"
"D","D4 - Education Outcomes (UDISE+)","GER - Elementary (Classes 1-8)","[UNCONFIRMED]","N/A","UDISE+ 2023-24","udiseplus.gov.in",""
"D","D4 - Education Outcomes (UDISE+)","GER - Secondary (Classes 9-10)","[UNCONFIRMED]","N/A","UDISE+ 2023-24","udiseplus.gov.in",""
"D","D4 - Education Outcomes (UDISE+)","GER - Higher Secondary (Classes 11-12)","[UNCONFIRMED]","N/A","UDISE+ 2023-24","udiseplus.gov.in",""
"D","D4 - Education Outcomes (UDISE+)","Dropout rate - Secondary (Classes 9-12)","8% (boys 9.6%; girls 6.3%)","N/A","UDISE+ latest","udiseplus.gov.in; siasat.com","Rank 1 = highest"
"D","D4 - Education Outcomes (UDISE+)","Retention rate - primary","102.8%","N/A","UDISE+ 2023-24","udiseplus.gov.in; siasat.com",""
"D","D4 - Education Outcomes (UDISE+)","Retention rate - higher secondary","64.2%","N/A","UDISE+ 2023-24","udiseplus.gov.in; siasat.com","Sharp drop from primary"
"D","D5 - Beneficiary Populations","Functional Anganwadi Centres (AWCs)","35781 (31897 main + 4076 mini) in 149 ICDS Projects","N/A","Latest","wdcw.tg.nic.in",""
"D","D5 - Beneficiary Populations","Pregnant women per year (ANC registrations)","[UNCONFIRMED]","N/A","HMIS","hmis.nhp.gov.in","SNP: 770426 pregnant women 15-49 in 2019 projection"
"D","D5 - Beneficiary Populations","Children under 6 (ICDS universe)","[UNCONFIRMED]","N/A","poshantracker.in","poshantracker.in","SNP 2019 projection: 2754280 children under 5"
"D","D5 - Beneficiary Populations","Total enrolled students - Govt schools","2779713","N/A","UDISE+ 2023-24","udiseplus.gov.in; siasat.com","Declined from 3303699 in 2021-22"
"D","D5 - Beneficiary Populations","Total enrolled students - Private schools","4431380","N/A","UDISE+ 2023-24","udiseplus.gov.in; siasat.com","Surge from 3514338 in 2021-22"
